Unit Address,Property Name,Distance,Neighborhood,Property Flags,Unnamed: 5,Property Group,Latitude,Longitude
"10085 SE River St,  Truckee, CA, 96161, US",Revival Retreat,267-2-04.2 Winter Creek,Truckee,,,Monthly Lease Only,,
"10096 Winter Creek Loop,  Truckee, CA, 96161, US",Elmcrest at Winter Creek,267-2-04.2 Winter Creek,Truckee,,,Monthly Lease Only,39.3227275,-120.1724585
"10108 Sagebrush,  Truckee, CA, 96161, US",Trestlewood Lodge at Schaffer's Mill,267-2-09.2 Carson Range,Schaffer's Mill,,,Summer 5 NT,,
"10137 Corrie Court,  Truckee, CA, 96161, US",Allure At Schaffer's Mill,267-2-09.3 Heartwood,Schaffer's Mill,,,Summer 5 NT,,
"10144 Jibboom St,  Truckee, CA, 96161, US",Crimson Cabin,267-2-03.5 Jiboom,Truckee,,,Monthly Lease Only,39.3308782,-120.1827131
"10196 Winter Creek Loop,  Truckee, CA, 96161, US",Cedar Crest at Winter Creek,267-2-04.2 Winter Creek,Truckee,,,Summer 5 NT,39.3226886,-120.1740835
"10217 Winter Creek Loop,  Truckee, CA, 96161, US",Pinecrest at Winter Creek,267-2-04.2 Winter Creek,Truckee,,,Summer 5 NT,39.3224733,-120.1744624
"10219 Washoe Rd,  Truckee, CA, 96161, US",Canyon Chalet at Donner Lake,089-2-02.6 Donner Lake,Truckee,,,Monthly Lease Only,39.319107,-120.2988505
"10229 Annie's Loop,  Truckee, CA, 96161, US",Truckee Luxe at Gray's Crossing,267-1-06.1 Annie's Loop,Gray's Crossing,,,Summer 5 NT,,
"10236 Valmont Trail,  Truckee, CA, 96161, US",Briarwood at Schaffer's Mill,267-2-09.3 Heartwood,Schaffer's Mill,,,Monthly Lease Only,,
"10240 Winter Creek Loop,  Truckee, CA, 96161, US",Oak Crest at Winter Creek,267-2-04.2 Winter Creek,Truckee,,,Ski Lease Only,39.3226654,-120.1748123
"1030 Snow Crest,  Olympic Valley, CA, 96146, US",Aspen Heights at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,Managed Services: Y; Propane Tank: Y,,Managed Services,,
"10321 Shady Lane,  Truckee, CA, 96161, US",Crestwood at Schaffers Mill,267-2-09.3 Heartwood,Schaffer's Mill,,,Summer 5 NT,,
"1035 West Lake,  Tahoe City, CA, 96145, US",Sunnyside Retreat,089-3-16.6 Cathedral,Tahoe City,,,Summer 5 NT,39.1511049,-120.1455939
"105 Mammoth Dr,  Tahoe City, CA, 96145, US",Twin Hollow at Dollar Point,267-2-23.8 Marlette,Dollar Point,,,Summer 7 NT,,
"1055 Trent Lane,  Kings Beach, CA, 96143, US",Tahoe Rim Retreat,267-2-16.4 Commonwealth,Tahoe Vista/Kings Beach,,,Summer 5 NT,,
"10559 Sara Bear Ln,  Truckee, CA, 96161, US",Maple Crest at Winter Creek,267-2-04.2 Winter Creek,Truckee,,,Monthly Lease Only,39.3231596,-120.1733327
"10562 Glenbrook Ct,  Truckee, CA, 96161, US",Glenbrook at Martis Camp,267-2-10.4 Martis Camp,Martis Camp,,,Monthly Lease Only,,
"10568 Glenbrook,  Truckee, CA, 96161, US",Regal Peaks at Martis Camp,267-2-10.4 Martis Camp,Martis Camp,,,Monthly Lease Only,,
"10569 Glen Brook Court,  Truckee, CA, 96161, US",Prime Vista at Martis Camp,267-2-10.4 Martis Camp,Martis Camp,,,Monthly Lease Only,,
"10613 Dutton Ct.,  Truckee, CA, 96161, US",Omni Vista at Martis Camp,267-2-10.4 Martis Camp,Martis Camp,,,Monthly Lease Only,,
"10706 Avoca Circle,  Truckee, CA, 96161, US",Serene Escape at Martis Camp,267-2-10.4 Martis Camp,Martis Camp,,,Summer 5 NT,,
"10718 Avoca Circle,  Truckee, CA, 96161, US",Avoca Modern at Martis Camp,267-2-10.4 Martis Camp,Martis Camp,,,Summer 7 NT,,
"10761 Passage Place,  Truckee, CA, 96161, US",Perfect Passage,089-2-00.7 Donner Crest,Truckee,,,Ski Lease Only,39.3364923,-120.2145681
"10768 Labelle,  Truckee, CA, 96161, US",Fresh Air at Gray's Crossing,267-1-05.5 China Camp,Gray's Crossing,,,Ski Lease Only,39.3516451,-120.1774101
"10825 Cairncroft Ln,  Truckee, CA, 96161, US",Peak Perfection at Martis Camp,267-2-10.4 Martis Camp,Martis Camp,,,Monthly Lease Only,,
"10825 Carincroft Ln,  Truckee, CA, 96161, US",Peak Perfection Guest House at Martis Camp,267-2-10.4 Martis Camp,Martis Camp,,,Monthly Lease Only,,
"10885 Cinnabar #5,  Truckee, CA, 96161, US",The Boulders Condo #5,089-3-02.6 Deerfield,Truckee,,,Monthly Lease Only,,
"1090 West Lake Blvd,  Tahoe City, CA, 96145, US",Towering Pines Lakefront,089-3-16.6 Cathedral,Tahoe City,,,Summer 7 NT,39.1509374,-120.1455442
"10945 Lausanne,  Truckee, CA, 96161, US",Woodhaven at Tahoe Donner,089-1-07.1 Lausanne,Tahoe Donner,,,Monthly Lease Only,39.337849,-120.2087999
"10958 Olana Drive,  Truckee, CA, 96161, US",Lunar Vista at Martis Camp,267-2-10.4 Martis Camp,Martis Camp,,,Monthly Lease Only,,
"110 Old Cedars Place,  Tahoma, CA, 96142, US",Aerial Grace Lakeside Retreat,,Homewood/Tahoma,,,Summer 7 NT,,
"110 Simplon Pass Road,  Homewood, CA, 96141, US",Mod Haus on the West Shore,089-4-20.7 Grimsel Pass,Homewood/Tahoma,Propane Tank: Y,,Summer 5 NT,,
"11025 Innsbruck Ave.,  Truckee, CA, 96161, US",A-Frame of Mind at Tahoe Donner,089-1-01.7 Swiss,Tahoe Donner,,,Summer 3 NT,39.343348,-120.2313861
"11042 Henness Rd,  Truckee, CA, 96161, US",Mountain Majesty at Gray's Crossing,267-1-06.4 Henness,Gray's Crossing,,,Summer 5 NT,39.3530965,-120.1641837
"11061 Henness Rd,  Truckee, CA, 96161, US",Havenwood Ski Lease at Gray's Crossing,267-1-06.4 Henness,Gray's Crossing,,,Ski Lease Only,39.3529634,-120.16458
"11073 Meek Court,  Truckee, CA, 96161, US",Meek Court at Grays Crossing,267-1-06.4 Henness,Gray's Crossing,,,Summer 5 NT,39.3536918,-120.165374
"11090 SItzmark Way,  Truckee, CA, 96161, US",High Country Lodge,089-1-06.3 Sitzmark,Tahoe Donner,,,Summer 5 NT,39.3507716,-120.2057845
"11092 China Camp Road,  Truckee, CA, 96161, US",Pine Meadow at Gray's Crossing,267-1-05.5 China Camp,Gray's Crossing,,,Summer 5 NT,39.3483222,-120.1785582
"11114 Mougle,  Truckee, CA, 96161, US",Sierra Sanctuary at Tahoe Donner,089-1-06.6 Mougle,Tahoe Donner,,,Monthly Lease Only,39.3414092,-120.2039066
"11172 Comstock Dr.,  Truckee, CA, 96161, US",Lonestar Ranch,267-1-05.5 China Camp,Truckee,,,Monthly Lease Only,39.3413624,-120.181357
"112 Roundridge Rd,  Tahoe City, CA, 96145, US",Big Horn Luxury Lodge,267-2-23.8 Marlette,Dollar Point,,,Summer 5 NT,,
"1122 Sandy Way,  Olympic Valley, CA, 96146, US",Summit Solitude at Palisades,089-3-12.1 Wayne,Olympic Valley,Propane Tank: Y,,Summer 3 NT,39.2061966,-120.2221305
"11239 Henness Rd,  Truckee, CA, 96161, US",Sage Hen at Grays Crossing,267-1-06.4 Henness,Gray's Crossing,Managed Services: Y,,Summer 5 NT,39.3487973,-120.1666032
"11259 Henness Road,  Truckee, CA, 96161, US",First Light Farmhouse at Gray's Crossing,267-1-06.4 Henness,Gray's Crossing,,,Summer 5 NT,39.3487973,-120.1666032
"11259 Skislope Way,  Truckee, CA, 96161, US",Skislope Manor at Tahoe Donner,089-1-01.1 Skislope One,Tahoe Donner,,,Summer 3 NT,,
"11262 Comstock Dr.,  Truckee, CA, 96161, US",Crossroads Luxury Lodge,267-1-05.5 China Camp,Truckee,,,Monthly Lease Only,39.3427538,-120.1805231
"1130 W. Lake Blvd,  Tahoe City, CA, 96145, US",Cathedral Pines Lakefront,089-3-16.8 Cedar Point,Tahoe City,Managed Services: Y,,Summer 7 NT,39.1499946,-120.1454338
"11310 Henness,  Truckee, CA, 96161, US",Morning Star at Gray's Crossing,267-1-06.4 Henness,Gray's Crossing,,,Monthly Lease Only,39.3402553,-120.1700815
"11315 China Camp Road,  Truckee, CA, 96161, US",Truckee Timbers at Gray's Crossing,267-1-05.5 China Camp,Gray's Crossing,,,Summer 5 NT,39.3502233,-120.177418
"11325 Sitzmark Way,  Truckee, CA, 96161, US",Jackpine Lodge at Tahoe Donner,089-1-06.3 Sitzmark,Tahoe Donner,,,Summer 3 NT,39.350915,-120.2012135
"11349 Wolverine Circle,  Truckee, CA, 96161, US",Porchlight Retreat,267-1-05.5 China Camp,Truckee,,,Monthly Lease Only,39.3416515,-120.1779
"11365 China Camp Rd,  Truckee, CA, 96161, US",Starlight at Gray's Crossing,267-1-05.5 China Camp,Gray's Crossing,,,Summer 5 NT,39.3501337,-120.1768401
